Local time in Montijo (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.01.2019 21:00,"5,9","772,9","774,2","0,5",100,Wind blowing from the south-east,1,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"15,0","5,9",No precipitation,12,,,,
01.01.2019 18:00,"8,0","772,4","773,7","0,5",96,Wind blowing from the west,2,,,"10% or less, but not 0",,,,,"15,4","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","7,4",No precipitation,3,,,,
01.01.2019 15:00,"14,6","771,9","773,2","-1,1",64,Wind blowing from the north,2,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","7,9",No precipitation,3,,,,
01.01.2019 12:00,"11,0","773,0","774,3","-0,3",70,Wind blowing from the north-east,4,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","5,6",No precipitation,3,,,,
01.01.2019 09:00,"5,6","773,3","774,7","1,5",97,Wind blowing from the north-east,3,,,no clouds,,,,,,,,,,,"20,0","5,2",No precipitation,3,,,,
01.01.2019 06:00,"3,8","771,8","773,1","-0,2",100,Wind blowing from the north,1,,,no clouds,,,,"3,4",,,,,,,"10,0","3,8",No precipitation,3,,,,
01.01.2019 03:00,"5,9","772,0","773,3","0,4",100,Wind blowing from the north-east,3,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","5,9",No precipitation,3,,,,
01.01.2019 00:00,"5,9","771,6","772,9","0,1",100,Wind blowing from the north-northeast,3,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","5,9",No precipitation,3,,,,
31.12.2018 21:00,"8,9","771,5","772,9","0,6",96,Wind blowing from the east-northeast,2,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","8,3",No precipitation,12,,,,
31.12.2018 18:00,"11,9","770,9","772,2","0,4",80,Wind blowing from the north,3,,,20–30%.,,,,,"15,0","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","8,6",No precipitation,3,,,,
31.12.2018 15:00,"14,4","770,5","771,7","-0,9",73,Wind blowing from the north-northwest,4,,,no clouds,,,,,,,,,,,"20,0","9,5",No precipitation,3,,,,
31.12.2018 12:00,"11,1","771,4","772,6","0,0",72,Wind blowing from the north-northeast,3,,,no clouds,,,,,,,,,,,"20,0","6,1",No precipitation,3,,,,
31.12.2018 09:00,"6,9","771,4","772,8","1,3",86,Wind blowing from the north-northeast,4,,6,no clouds,,,,,,,,,,,"20,0","4,7",No precipitation,3,,,,
31.12.2018 06:00,"6,0","770,1","771,4","-0,2",93,Wind blowing from the north-northeast,4,,,no clouds,,,,"5,9",,,,,,,"20,0","5,0",No precipitation,3,,,,
31.12.2018 03:00,"6,0","770,3","771,7","0,3",94,Wind blowing from the north-northeast,3,,,no clouds,,,,,,,,,,,"20,0","5,1",No precipitation,3,,,,
31.12.2018 00:00,"6,8","770,0","771,3","0,4",86,Wind blowing from the north-northeast,3,,,no clouds,,,,,,,,,,,"20,0","4,6",No precipitation,3,,,,
30.12.2018 21:00,"9,2","769,6","770,9","0,9",90,Wind blowing from the north,2,,,no clouds,,,,,,,,,,,"20,0","7,7",No precipitation,12,,,,
30.12.2018 18:00,"12,0","768,7","769,9","0,9",73,Wind blowing from the north-northeast,3,,8,no clouds,,,,,"18,1",,,,,,"20,0","7,3",No precipitation,3,,,,
30.12.2018 15:00,"17,6","767,8","769,0","-1,4",57,Wind blowing from the north-northeast,4,,8,no clouds,,,,,,,,,,,"20,0","8,8",No precipitation,3,,,,
30.12.2018 12:00,"13,2","769,2","770,5","-0,8",72,Wind blowing from the north-northeast,5,,7,no clouds,,,,,,,,,,,"20,0","8,3",No precipitation,3,,,,
30.12.2018 09:00,"8,2","770,0","771,4","1,4",85,Wind blowing from the north-northeast,3,,,no clouds,,,,,,,,,,,"20,0","5,8",No precipitation,3,,,,
30.12.2018 06:00,"6,8","768,6","769,9","-0,6",93,Wind blowing from the north-east,5,,,no clouds,,,,"6,1",,,,,,,"20,0","5,8",No precipitation,3,,,,
30.12.2018 03:00,"6,5","769,2","770,5","0,0",93,Wind blowing from the north-northeast,3,,,no clouds,,,,,,,,,,,"20,0","5,5",No precipitation,3,,,,
30.12.2018 00:00,"8,8","769,2","770,5","-0,1",81,Wind blowing from the north-east,5,,,no clouds,,,,,,,,,,,"20,0","5,6",No precipitation,3,,,,
29.12.2018 21:00,"9,3","769,3","770,6","0,6",87,Wind blowing from the north-east,4,,,no clouds,,,,,,,,,,,"20,0","7,3",No precipitation,12,,,,
29.12.2018 18:00,"11,5","768,7","769,9","0,6",81,Wind blowing from the north-east,2,,,no clouds,,,,,"16,6",,,,,,"20,0","8,4",No precipitation,3,,,,
29.12.2018 15:00,"16,5","768,1","769,3","-1,5",53,Wind blowing from the east-northeast,6,,,no clouds,,,,,,,,,,,"20,0","6,7",No precipitation,3,,,,
29.12.2018 12:00,"11,7","769,6","770,9","-0,6",77,Wind blowing from the north-northeast,4,,,no clouds,,,,,,,,,,,"20,0","7,8",No precipitation,3,,,,
29.12.2018 09:00,"8,6","770,2","771,4","1,0",92,Wind blowing from the north-east,3,,,no clouds,,,,,,,,,,,"20,0","7,4",No precipitation,3,,,,
29.12.2018 06:00,"6,9","769,2","770,5","-0,4",100,Wind blowing from the north-northeast,5,,6,no clouds,,,,"6,9",,,,,,,"20,0","6,9",No precipitation,3,,,,
29.12.2018 03:00,"8,3","769,6","770,8","-0,2",100,Wind blowing from the east-northeast,3,,,no clouds,,,,,,,,,,,"20,0","8,3",No precipitation,3,,,,
29.12.2018 00:00,"10,0","769,8","771,1","0,1",100,Wind blowing from the north-northeast,4,,,no clouds,,,,,,,,,,,"20,0","10,0",No precipitation,3,,,,
28.12.2018 21:00,"11,2","769,7","771,0","0,3",100,Wind blowing from the north,3,,,no clouds,,,,,,,,,,,"20,0","11,2",No precipitation,12,,,,
