Local time in Alverca (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
28.12.2018 15:00,"17,9","769,8","770,1","-1,3",64,Wind blowing from the north-east,5,,,"10% or less, but not 0",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","10,9",No precipitation,3,,,,
28.12.2018 12:00,"14,9","771,1","771,4","-0,5",85,Wind blowing from the east-northeast,3,,,"10% or less, but not 0",Clouds generally forming or developing.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","12,0","12,3",No precipitation,3,,,,
28.12.2018 09:00,"12,9","771,6","771,9",,91,Wind blowing from the east-northeast,2,,,40%.,Cloud development not observed or not observable.,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","12,0","11,5",No precipitation,3,,,,
27.12.2018 15:00,"12,3","770,8","771,1","-0,6",91,Wind blowing from the east-northeast,2,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",200-300,,,"5,0","10,9",No precipitation,3,,,,
27.12.2018 12:00,"11,3","771,4","771,7","0,0",92,Wind blowing from the east-northeast,3,,,100%.,Mist.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,200-300,,,"7,0","10,1","0,1",6,,,,
27.12.2018 09:00,"9,3","771,4","771,7",,97,Wind blowing from the north-east,2,,,100%.,Mist.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,200-300,,,"7,0","8,8","0,1",3,,,,
21.12.2018 15:00,"15,9","773,4","773,7","-1,2",73,Wind blowing from the south-southeast,2,,,40%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","8,0","11,0",No precipitation,3,,,,
21.12.2018 12:00,"11,0","774,6","774,9","0,3",97,Wind blowing from the east,1,,,100%.,Fog or ice fog.,Fog or ice fog or thick haze.,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,50-100,,,"3,0","10,6",No precipitation,3,,,,
21.12.2018 09:00,"10,1","774,3","774,6",,98,Wind blowing from the east-northeast,2,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",,,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,2","9,8",No precipitation,3,,,,
20.12.2018 15:00,"15,4","770,8","771,1","-0,9",78,Wind blowing from the south,3,,,70 – 80%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","11,6",No precipitation,3,,,,
20.12.2018 12:00,"16,1","771,7","772,0","0,6",80,Wind blowing from the south,3,,,50%.,Clouds generally forming or developing.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","12,6",No precipitation,3,,,,
20.12.2018 09:00,"12,6","771,1","771,4",,92,Wind blowing from the west-southwest,1,,,60%.,Cloud development not observed or not observable.,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","11,3",No precipitation,3,,,,
19.12.2018 15:00,"15,7","769,0","769,3","-1,1",66,Wind blowing from the west-northwest,4,,,"90 or more, but not 100%",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altocumulus translucidus at a single level.,Cirrostratus not progressively invading the sky and not entirely covering it.,"15,0","9,3",No precipitation,3,,,,
