Local time in Monte Real (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.01.2019 21:00,"6,5","769,7","775,5","0,7",96,Wind blowing from the north,1,,,"10% or less, but not 0",Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","7,0","5,9",No precipitation,12,,,,
01.01.2019 18:00,"10,1","769,0","774,7","0,6",82,Wind blowing from the west-northwest,1,,,"10% or less, but not 0",,,,,"16,4","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","7,2",No precipitation,3,,,,
01.01.2019 15:00,"15,7","768,4","773,9","-1,0",56,Wind blowing from the north-northwest,3,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","7,0",No precipitation,3,,,,
01.01.2019 12:00,"14,8","769,4","775,0","-0,1",48,Wind blowing from the north,1,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","3,7",No precipitation,3,,,,
01.01.2019 09:00,"3,5","769,5","775,3","1,3",93,Wind blowing from the south-southeast,2,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","2,5",No precipitation,3,,,,
01.01.2019 06:00,"2,7","768,2","774,1","-0,3",95,Wind blowing from the south-southeast,2,,,no clouds,,,,"2,7",,,,,,,"10,0","2,0",No precipitation,3,,,,
01.01.2019 03:00,"3,3","768,5","774,3","0,3",95,Wind blowing from the south-southeast,2,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"7,0","2,6",No precipitation,3,,,,
01.01.2019 00:00,"4,9","768,2","774,0","0,1",95,Wind blowing from the south,1,,,no clouds,,,,,,,,,,,"10,0","4,2",No precipitation,3,,,,
31.12.2018 21:00,"7,6","768,1","773,8","0,5",87,Wind blowing from the south-southeast,1,,,no clouds,,,,,,,,,,,"10,0","5,6",No precipitation,12,,,,
31.12.2018 18:00,"14,3","767,6","773,2","0,6",55,Wind blowing from the north,1,,,no clouds,,,,,"17,2",,,,,,"10,0","5,2",No precipitation,3,,,,
31.12.2018 15:00,"17,2","767,0","772,6","-0,8",41,Wind blowing from the east-southeast,4,,,no clouds,,,,,,,,,,,"10,0","3,6",No precipitation,3,,,,
31.12.2018 12:00,"14,3","767,8","773,3","0,0",50,Wind blowing from the south-east,3,,,no clouds,,,,,,,,,,,"10,0","3,8",No precipitation,3,,,,
31.12.2018 09:00,"4,4","767,8","773,6","2,7",90,Wind blowing from the south-east,2,,,no clouds,,,,,,,,,,,"10,0","2,9",No precipitation,3,,,,
31.12.2018 06:00,"4,0","765,1","772,4","-1,8",93,Wind blowing from the east-southeast,2,,,no clouds,,,,"3,7",,,,,,,"10,0","3,0",No precipitation,3,,,,
31.12.2018 03:00,"5,1","766,9","772,7","0,1",92,Wind blowing from the south-southwest,2,,,no clouds,,,,,,,,,,,"10,0","3,9",No precipitation,3,,,,
31.12.2018 00:00,"4,9","766,8","772,6","0,2",97,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","4,5",No precipitation,3,,,,
