Local time in Ovar (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.01.2019 21:00,"5,0","772,9","774,6","0,6",94,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","4,1",No precipitation,12,,,,
01.01.2019 18:00,"9,0","772,3","773,8","0,0",87,Wind blowing from the north,1,,,20–30%.,,,,,"14,0","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","7,0",No precipitation,3,,,,
01.01.2019 15:00,"13,4","772,3","773,8","-0,3",69,Wind blowing from the north-west,3,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","7,7",No precipitation,3,,,,
01.01.2019 12:00,"12,0","772,6","774,1","-0,6",82,Wind blowing from the north-east,1,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","9,0",No precipitation,3,,,,
01.01.2019 09:00,"0,8","773,2","774,7","1,5",97,Wind blowing from the north,1,,,20–30%.,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","7,0","0,3",No precipitation,3,,,,
01.01.2019 06:00,"1,2","771,7","773,3","-0,1",97,Wind blowing from the north,1,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,"1,0",,,,,,,"4,0","0,7",No precipitation,3,,,,
01.01.2019 03:00,"3,2","771,8","773,5","0,4",97,variable wind direction,1,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"3,0","2,7",,,,,,
01.01.2019 00:00,"3,8","771,4","773,1","0,1",97,Wind blowing from the north,1,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"3,0","3,4",No precipitation,3,,,,
31.12.2018 21:00,"6,0","771,3","772,9","0,4",95,Wind blowing from the north,1,,,no clouds,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"7,0","5,2",No precipitation,12,,,,
31.12.2018 18:00,"10,8","770,9","772,5","-0,1",91,Wind blowing from the north,1,,,no clouds,"More or less continuous shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea.",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,"15,2",,,,,,"10,0","9,3",No precipitation,3,,,,
31.12.2018 15:00,"15,0","771,0","772,6","-0,2",70,Wind blowing from the west,2,,,no clouds,,,,,,,,,,,"10,0","9,6",No precipitation,3,,,,
31.12.2018 12:00,"15,2","771,2","772,8","0,1",59,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","7,3",No precipitation,3,,,,
31.12.2018 09:00,"3,0","771,1","772,7","0,9",94,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","2,1",No precipitation,3,,,,
31.12.2018 06:00,"2,2","770,2","771,9","-0,2",93,,,,,,,,,"1,6",,,,"2500 or more, or no clouds.",,,"10,0","1,2",,,,,,
31.12.2018 03:00,"2,4","770,4","772,0","0,2",93,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","1,4",No precipitation,3,,,,
31.12.2018 00:00,"3,4","770,2","771,8","0,3",94,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","2,5",No precipitation,3,,,,
30.12.2018 21:00,"5,8","769,9","771,5","0,6",91,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","4,5",No precipitation,12,,,,
30.12.2018 18:00,"11,2","769,3","770,8","0,3",73,Wind blowing from the north,1,,,no clouds,,,,,"17,8",,,,,,"10,0","6,5",No precipitation,3,,,,
30.12.2018 15:00,"17,4","769,0","770,5","-1,0",57,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","8,7",No precipitation,3,,,,
