Local time in Coimbra / Cernache,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.01.2019 23:00,"7,7","759,1","775,0","-0,2",100,"Calm, no wind",0,,,,,,,,,,,,,,,"7,7",No precipitation,1,,,,
01.01.2019 22:00,"7,6","759,1","774,9","0,3",100,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"7,6",No precipitation,1,,,,
01.01.2019 21:00,"8,3","759,3","775,1","0,7",96,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"7,7",No precipitation,12,,,,
01.01.2019 20:00,"9,1","759,3","775,0","0,8",87,Wind blowing from the north-west,1,,,,,,,,,,,,,,,"7,0",No precipitation,1,,,,
01.01.2019 19:00,"10,0","758,8","774,6","0,3",78,Wind blowing from the north,1,,,,,,,,,,,,,,,"6,3",No precipitation,1,,,,
01.01.2019 18:00,"10,8","758,6","774,3","0,3",71,Wind blowing from the north,1,,,,,,,,"15,4",,,,,,,"5,7",No precipitation,1,,,,
01.01.2019 17:00,"12,7","758,5","774,1","0,3",63,Wind blowing from the north,2,,,,,,,,,,,,,,,"5,7",No precipitation,1,,,,
01.01.2019 16:00,"14,3","758,5","774,0","-0,2",58,Wind blowing from the north,1,,,,,,,,,,,,,,,"6,1",No precipitation,1,,,,
01.01.2019 15:00,"14,8","758,3","773,8","-0,6",54,Wind blowing from the north,1,,,,,,,,,,,,,,,"5,6",No precipitation,1,,,,
01.01.2019 14:00,"15,1","758,2","773,7","-1,2",52,Wind blowing from the north,1,,,,,,,,,,,,,,,"5,3",No precipitation,1,,,,
01.01.2019 13:00,"14,0","758,7","774,1","-0,7",50,Wind blowing from the north,2,,,,,,,,,,,,,,,"3,8",No precipitation,1,,,,
01.01.2019 12:00,"12,9","758,9","774,5","-0,3",54,Wind blowing from the north,2,,,,,,,,,,,,,,,"3,7",No precipitation,1,,,,
01.01.2019 11:00,"11,5","759,4","775,0","0,6",60,Wind blowing from the north,2,,5,,,,,,,,,,,,,"3,9",No precipitation,1,,,,
01.01.2019 10:00,"9,0","759,4","775,1","1,2",68,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"3,3",No precipitation,1,,,,
01.01.2019 09:00,"6,7","759,2","775,1","1,3",72,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"1,9",No precipitation,1,,,,
01.01.2019 08:00,"5,5","758,8","774,7","1,0",78,Wind blowing from the north,1,,,,,,,,,,,,,,,"1,9",No precipitation,1,,,,
01.01.2019 07:00,"5,7","758,2","774,1","0,3",77,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"2,0",No precipitation,1,,,,
