Local time in Castelo do Neiva,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.01.2019 23:00,"4,5","770,7","775,3","0,2",99,,,,,,,,,,,,,,,,,"4,3",No precipitation,1,,,,
01.01.2019 22:00,"5,9","770,8","775,3","0,4",100,,,,,,,,,,,,,,,,,"5,9",No precipitation,1,,,,
01.01.2019 21:00,"6,5","770,7","775,2","0,7",99,,,,,,,,,,,,,,,,,"6,4",No precipitation,12,,,,
01.01.2019 20:00,"6,4","770,5","775,0","0,6",100,,,,,,,,,,,,,,,,,"6,4",No precipitation,1,,,,
01.01.2019 19:00,"8,5","770,4","774,8","0,3",99,,,,,,,,,,,,,,,,,"8,4",No precipitation,1,,,,
01.01.2019 18:00,"8,2","770,0","774,5","0,0",97,,,,,,,,,,"12,5",,,,,,,"7,8",No precipitation,1,,,,
01.01.2019 17:00,"10,8","769,9","774,4","0,0",86,,,,,,,,,,,,,,,,,"8,6",No precipitation,1,,,,
01.01.2019 16:00,"11,9","770,1","774,4","0,0",89,,,,,,,,,,,,,,,,,"10,2",No precipitation,1,,,,
01.01.2019 15:00,"12,3","770,0","774,4","-0,5",85,,,,,,,,,,,,,,,,,"9,9",No precipitation,1,,,,
01.01.2019 14:00,"11,2","769,9","774,3","-1,1",67,,,,,,,,,,,,,,,,,"5,2",No precipitation,1,,,,
01.01.2019 13:00,"11,3","770,1","774,5","-0,9",68,,,,,,,,,,,,,,,,,"5,5",No precipitation,1,,,,
01.01.2019 12:00,"11,8","770,5","775,0","-0,3",62,,,,,,,,,,,,,,,,,"4,6",No precipitation,1,,,,
01.01.2019 11:00,"8,8","771,0","775,5","0,8",76,,,,,,,,,,,,,,,,,"4,8",No precipitation,1,,,,
01.01.2019 10:00,"6,0","771,0","775,6","1,1",81,,,,,,,,,,,,,,,,,"2,9",No precipitation,1,,,,
01.01.2019 09:00,"3,0","770,8","775,4","1,3",91,,,,,,,,,,,,,,,,,"1,7",No precipitation,1,,,,
01.01.2019 08:00,"2,8","770,2","774,7","0,9",91,Wind blowing from the west-southwest,29,49,50,,,,,,,,,,,,,"1,5",No precipitation,1,,,,
01.01.2019 07:00,"2,8","769,9","774,4","0,5",93,,,,,,,,,,,,,,,,,"1,7",No precipitation,1,,,,
01.01.2019 06:00,"2,6","769,5","774,1","-0,3",95,,,,,,,,,"2,4",,,,,,,,"1,8",,,Surface of ground moist.,"-1,0",,
01.01.2019 05:00,"2,7","769,3","773,9","-0,1",91,,,,,,,,,,,,,,,,,"1,3",No precipitation,1,,,,
01.01.2019 04:00,"3,2","769,4","774,0","0,1",93,,,,,,,,,,,,,,,,,"2,1",No precipitation,1,,,,
01.01.2019 03:00,"3,8","769,8","774,3","0,6",89,,,,,,,,,,,,,,,,,"2,2",No precipitation,1,,,,
01.01.2019 02:00,"4,0","769,4","774,0","0,2",92,,,,,,,,,,,,,,,,,"2,8",No precipitation,1,,,,
01.01.2019 01:00,"3,9","769,3","773,8","0,3",97,,,,,,,,,,,,,,,,,"3,4",No precipitation,1,,,,
01.01.2019 00:00,"5,4","769,2","773,8","0,1",87,,,,,,,,,,,,,,,,,"3,4",No precipitation,1,,,,
31.12.2018 23:00,"5,7","769,2","773,7","0,2",89,,,,,,,,,,,,,,,,,"4,0",No precipitation,1,,,,
31.12.2018 22:00,"6,0","769,0","773,5","0,3",88,,,,,,,,,,,,,,,,,"4,2",No precipitation,1,,,,
31.12.2018 21:00,"6,7","769,1","773,6","0,7",90,,,,,,,,,,,,,,,,,"5,2",No precipitation,12,,,,
31.12.2018 20:00,"6,6","769,0","773,5","0,6",96,,,,,,,,,,,,,,,,,"6,0",No precipitation,1,,,,
31.12.2018 19:00,"8,3","768,7","773,2","0,4",90,,,,,,,,,,,,,,,,,"6,8",No precipitation,1,,,,
31.12.2018 18:00,"9,9","768,4","772,9","0,3",88,,,,,,,,,,"16,4",,,,,,,"8,0",No precipitation,1,,,,
31.12.2018 17:00,"10,5","768,4","772,8","0,3",85,,,,,,,,,,,,,,,,,"8,1",No precipitation,1,,,,
31.12.2018 16:00,"13,8","768,3","772,7","-0,3",69,,,,,,,,,,,,,,,,,"8,1",No precipitation,1,,,,
31.12.2018 15:00,"15,5","768,1","772,5","-1,1",54,,,,,,,,,,,,,,,,,"6,2",No precipitation,1,,,,
31.12.2018 14:00,"15,5","768,1","772,4","-1,3",52,,,,,,,,,,,,,,,,,"5,6",No precipitation,1,,,,
31.12.2018 13:00,"14,8","768,6","772,9","-0,7",48,,,,,,,,,,,,,,,,,"3,7",No precipitation,1,,,,
31.12.2018 12:00,"13,4","769,2","773,5","0,1",46,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"1,9",No precipitation,1,,,,
31.12.2018 11:00,"10,5","769,4","773,8","0,7",58,Wind blowing from the east-northeast,2,,53,,,,,,,,,,,,,"2,5",No precipitation,1,,,,
31.12.2018 10:00,"7,4","769,3","773,8","0,9",69,Wind blowing from the north,3,50,50,,,,,,,,,,,,,"2,0",No precipitation,1,,,,
31.12.2018 09:00,"4,5","769,1","773,6","1,1",75,Wind blowing from the north-east,3,,51,,,,,,,,,,,,,"0,4",No precipitation,1,,,,
31.12.2018 08:00,"3,0","768,7","773,2","1,0",83,,,,,,,,,,,,,,,,,"0,4",No precipitation,1,,,,
31.12.2018 07:00,"3,5","768,4","772,9","0,6",79,Wind blowing from the north-northeast,14,,60,,,,,,,,,,,,,"0,1",No precipitation,1,,,,
31.12.2018 06:00,"3,9","768,0","772,6","-0,1",81,Wind blowing from the west,27,,,,,,,"3,6",,,,,,,,"0,9",,,Surface of ground moist.,"-1,0",,
31.12.2018 05:00,"5,7","767,7","772,2","-0,4",70,Wind blowing from the north-east,2,,57,,,,,,,,,,,,,"0,5",No precipitation,1,,,,
31.12.2018 04:00,"3,9","767,8","772,3","-0,3",84,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"1,4",No precipitation,1,,,,
31.12.2018 03:00,"4,1","768,1","772,7","0,0",86,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"1,9",No precipitation,1,,,,
31.12.2018 02:00,"5,1","768,1","772,6","0,0",84,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"2,6",No precipitation,1,,,,
31.12.2018 01:00,"5,8","768,1","772,5","0,2",85,Wind blowing from the north-east,2,,5,,,,,,,,,,,,,"3,4",No precipitation,1,,,,
31.12.2018 00:00,"5,3","768,1","772,6","0,2",88,Wind blowing from the north-east,3,,52,,,,,,,,,,,,,"3,4",No precipitation,1,,,,
30.12.2018 23:00,"5,2","768,1","772,6","0,3",92,Wind blowing from the north-east,2,,35,,,,,,,,,,,,,"4,0",No precipitation,1,,,,
30.12.2018 22:00,"5,3","767,9","772,5","0,4",96,Wind blowing from the north-east,3,,,,,,,,,,,,,,,"4,7",No precipitation,1,,,,
30.12.2018 21:00,"6,6","767,9","772,3","0,7",92,Wind blowing from the north-east,3,,,,,,,,,,,,,,,"5,4",No precipitation,12,,,,
30.12.2018 20:00,"9,0","767,8","772,3","0,6",83,Wind blowing from the north-east,3,,,,,,,,,,,,,,,"6,3",No precipitation,1,,,,
30.12.2018 19:00,"8,0","767,5","772,0","0,4",92,Wind blowing from the north-east,3,,46,,,,,,,,,,,,,"6,8",No precipitation,1,,,,
30.12.2018 18:00,"9,4","767,2","771,7","0,1",86,Wind blowing from the north-east,2,,,,,,,,"15,9",,,,,,,"7,2",No precipitation,1,,,,
30.12.2018 17:00,"11,0","767,2","771,5","0,2",84,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"8,3",No precipitation,1,,,,
30.12.2018 16:00,"13,5","767,1","771,4","-0,4",71,"Calm, no wind",0,,,,,,,,,,,,,,,"8,2",No precipitation,1,,,,
30.12.2018 15:00,"15,0","767,1","771,4","-1,1",61,Wind blowing from the north,1,,18,,,,,,,,,,,,,"7,4",No precipitation,1,,,,
30.12.2018 14:00,"15,5","767,0","771,4","-2,0",47,Wind blowing from the east-northeast,1,,55,,,,,,,,,,,,,"4,3",No precipitation,1,,,,
30.12.2018 13:00,"14,6","767,5","771,9","-1,7",51,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"4,6",No precipitation,1,,,,
30.12.2018 12:00,"13,2","768,2","772,6","-0,7",56,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"4,6",No precipitation,1,,,,
30.12.2018 11:00,"9,9","769,0","773,4","0,6",71,Wind blowing from the east-northeast,3,,5,,,,,,,,,,,,,"4,8",No precipitation,1,,,,
30.12.2018 10:00,"7,7","769,2","773,7","1,1",74,Wind blowing from the north-east,3,,,,,,,,,,,,,,,"3,4",No precipitation,1,,,,
30.12.2018 09:00,"4,7","768,9","773,5","1,1",89,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"3,0",No precipitation,1,,,,
30.12.2018 08:00,"3,9","768,4","773,0","0,6",91,Wind blowing from the north-east,4,58,58,,,,,,,,,,,,,"2,5",No precipitation,1,,,,
30.12.2018 07:00,"4,5","768,1","772,6","0,0",92,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"3,3",No precipitation,1,,,,
30.12.2018 06:00,"4,2","767,8","772,3","-0,5",93,Wind blowing from the north-east,2,,,,,,,"4,2",,,,,,,,"3,2",,,Surface of ground moist.,"1,0",,
30.12.2018 05:00,"4,7","767,8","772,3","-0,3",91,Wind blowing from the north-east,1,51,51,,,,,,,,,,,,,"3,4",No precipitation,1,,,,
30.12.2018 04:00,"6,5","768,1","772,6","0,2",84,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"4,0",No precipitation,1,,,,
30.12.2018 03:00,"6,8","768,3","772,8","0,3",83,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"4,1",No precipitation,1,,,,
30.12.2018 02:00,"7,6","768,1","772,6","0,3",77,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"3,8",No precipitation,1,,,,
30.12.2018 01:00,"7,6","767,9","772,4","0,1",86,Wind blowing from the east-northeast,2,,5,,,,,,,,,,,,,"5,4",No precipitation,1,,,,
30.12.2018 00:00,"8,4","768,0","772,4","0,1",85,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"6,0",No precipitation,1,,,,
29.12.2018 23:00,"7,3","767,8","772,3","-0,2",94,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"6,4",No precipitation,1,,,,
29.12.2018 22:00,"7,8","767,8","772,3","0,1",93,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"6,8",No precipitation,1,,,,
29.12.2018 21:00,"8,0","767,9","772,4","0,3",95,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"7,2",No precipitation,12,,,,
29.12.2018 20:00,"9,2","768,0","772,5","0,5",94,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"8,2",No precipitation,1,,,,
29.12.2018 19:00,"9,3","767,7","772,2","0,2",94,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"8,3",No precipitation,1,,,,
29.12.2018 18:00,"10,1","767,6","772,0","0,1",93,Wind blowing from the east-northeast,2,,,,,,,,"15,5",,,,,,,"9,0","0,1",12,,,,
29.12.2018 17:00,"11,9","767,5","771,9","0,1",89,"Calm, no wind",0,,,,,,,,,,,,,,,"10,2",No precipitation,1,,,,
29.12.2018 16:00,"14,3","767,5","772,0","-0,2",77,Wind blowing from the north,1,,,,,,,,,,,,,,,"10,2",No precipitation,1,,,,
29.12.2018 15:00,"14,2","767,5","771,9","-1,0",78,Wind blowing from the north,2,,,,,,,,,,,,,,,"10,3",No precipitation,1,,,,
29.12.2018 14:00,"14,8","767,4","771,7","-1,6",67,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"8,7",No precipitation,1,,,,
29.12.2018 13:00,"13,9","767,7","772,0","-1,5",73,Wind blowing from the north-east,2,,25,,,,,,,,,,,,,"9,0",No precipitation,1,,,,
29.12.2018 12:00,"12,9","768,5","772,9","-0,8",74,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"8,4","0,1",6,,,,
29.12.2018 11:00,"10,9","769,0","773,5","0,0",82,Wind blowing from the north-east,3,,6,,,,,,,,,,,,,"7,9",No precipitation,1,,,,
29.12.2018 10:00,"9,5","769,2","773,6","0,6",85,Wind blowing from the east-northeast,3,,6,,,,,,,,,,,,,"7,1",No precipitation,1,,,,
29.12.2018 09:00,"7,5","769,3","773,8","1,2",95,Wind blowing from the east-northeast,3,,6,,,,,,,,,,,,,"6,7","0,1",1,,,,
29.12.2018 08:00,"7,0","769,0","773,4","1,1",95,Wind blowing from the east-northeast,3,,5,,,,,,,,,,,,,"6,2",No precipitation,1,,,,
29.12.2018 07:00,"7,7","768,6","773,0","0,3",94,Wind blowing from the east-northeast,3,,5,,,,,,,,,,,,,"6,8",No precipitation,1,,,,
29.12.2018 06:00,"7,8","768,1","772,5","-0,5",93,Wind blowing from the east-northeast,3,,,,,,,"7,3",,,,,,,,"6,8",,,Surface of ground moist.,"4,0",,
29.12.2018 05:00,"7,9","767,9","772,4","-0,5",93,Wind blowing from the east-northeast,2,,5,,,,,,,,,,,,,"6,9",No precipitation,1,,,,
29.12.2018 04:00,"8,4","768,3","772,8","-0,1",92,Wind blowing from the east-northeast,3,,5,,,,,,,,,,,,,"7,2",No precipitation,1,,,,
29.12.2018 03:00,"8,8","768,6","773,0","-0,1",93,Wind blowing from the east-northeast,2,5,5,,,,,,,,,,,,,"7,7",No precipitation,1,,,,
29.12.2018 02:00,"8,5","768,4","772,8","-0,5",95,Wind blowing from the east-northeast,3,5,6,,,,,,,,,,,,,"7,8",No precipitation,1,,,,
29.12.2018 01:00,"7,5","768,4","772,9","-0,4",100,Wind blowing from the north-east,2,10,10,,,,,,,,,,,,,"7,5",No precipitation,1,,,,
29.12.2018 00:00,"7,9","768,7","773,2","0,0",99,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"7,8",No precipitation,1,,,,
28.12.2018 23:00,"7,8","768,9","773,4","0,1",97,Wind blowing from the east-northeast,2,,5,,,,,,,,,,,,,"7,4",No precipitation,1,,,,
28.12.2018 22:00,"8,8","768,8","773,3","0,1",98,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"8,5",No precipitation,1,,,,
28.12.2018 21:00,"8,6","768,7","773,2","0,3",97,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"8,2",No precipitation,12,,,,
28.12.2018 20:00,"9,7","768,8","773,2","0,6",97,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"9,3",No precipitation,1,,,,
28.12.2018 19:00,"10,9","768,7","773,1","0,7",94,Wind blowing from the north-east,1,,15,,,,,,,,,,,,,"9,9",No precipitation,1,,,,
28.12.2018 18:00,"11,9","768,4","772,9","0,5",92,Wind blowing from the north-east,1,,,"10% or less, but not 0",Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,"16,4",Stratocumulus cumulogenitus.,"10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","9,0","10,6",No precipitation,1,,,,
28.12.2018 17:00,"13,6","768,2","772,6","0,4",88,"Calm, no wind",0,,,,,,,,,,,,,,,"11,6",No precipitation,1,,,,
28.12.2018 16:00,"15,0","768,0","772,3","-0,1",81,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"11,7",No precipitation,1,,,,
28.12.2018 15:00,"16,2","767,9","772,3","-0,8",73,Wind blowing from the east-northeast,1,,,no clouds,State of sky on the whole unchanged.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"12,0","11,3",No precipitation,1,,,,
28.12.2018 14:00,"16,2","767,8","772,2","-1,3",75,Wind blowing from the east-northeast,2,,5,,,,,,,,,,,,,"11,7",No precipitation,1,,,,
28.12.2018 13:00,"15,7","768,1","772,4","-1,1",77,Wind blowing from the east-northeast,2,,32,,,,,,,,,,,,,"11,6",No precipitation,1,,,,
28.12.2018 12:00,"15,0","768,7","773,0","-0,3",80,,,,,,State of sky on the whole unchanged.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,"2500 or more, or no clouds.",,,"14,0","11,6",No precipitation,1,,,,
28.12.2018 11:00,"13,1","769,1","773,5","0,5",94,Wind blowing from the north-east,1,,21,,,,,,,,,,,,,"12,1",No precipitation,1,,,,
28.12.2018 10:00,"11,9","769,2","773,5","1,4",99,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"11,8",No precipitation,1,,,,
28.12.2018 09:00,"10,4","769,0","773,4","1,3",100,Wind blowing from the east-northeast,1,,,"10% or less, but not 0",Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","5,0","10,4",No precipitation,1,,,,
28.12.2018 08:00,"10,2","768,6","773,0","1,1",100,"Calm, no wind",0,,,,,,,,,,,,,,,"10,2",No precipitation,1,,,,
28.12.2018 07:00,"10,5","767,8","772,3","0,0",99,Wind blowing from the north,3,45,45,,,,,,,,,,,,,"10,4",No precipitation,1,,,,
28.12.2018 06:00,"10,9","767,7","772,1","-0,3",100,Wind blowing from the north,1,,,,,,,"10,7",,,,,,,,"10,9",,,Surface of ground moist.,"8,0",,
28.12.2018 05:00,"11,4","767,5","772,0","-0,3",100,Wind blowing from the north,6,34,55,,,,,,,,,,,,,"11,4",No precipitation,1,,,,
28.12.2018 04:00,"11,4","767,8","772,3","0,3",99,Wind blowing from the north,1,,52,,,,,,,,,,,,,"11,3",No precipitation,1,,,,
