Local time in Evora,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.01.2019 21:00,"7,0","751,9","774,6","0,5",83,Wind blowing from the north-northwest,1,,,,,,,,,,,,,,,"4,3",No precipitation,12,,,,
01.01.2019 18:00,"11,9","751,4","773,8","0,6",64,Wind blowing from the north-northwest,1,,,,,,,,"18,8",,,,,,,"5,3",No precipitation,1,,,,
01.01.2019 15:00,"18,4","750,8","772,6","-1,0",39,Wind blowing from the north,1,,,,,,,,,,,,,,,"4,2",No precipitation,1,,,,
01.01.2019 12:00,"13,3","751,8","774,0","-0,1",67,Wind blowing from the north,1,,,,,,,,,,,,,,,"7,2",No precipitation,1,,,,
01.01.2019 09:00,"4,0","751,9","774,9","1,4",93,"Calm, no wind",0,,,,,,,,,,,,,,,"2,9",No precipitation,1,,,,
01.01.2019 06:00,"3,4","750,5","773,5","-0,3",95,Wind blowing from the north-northeast,1,,,,,,,"2,5",,,,,,,,"2,6",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"-3,0",,
01.01.2019 03:00,"4,6","750,8","773,8","0,3",90,Wind blowing from the north,1,,,,,,,,,,,,,,,"3,1",No precipitation,1,,,,
01.01.2019 00:00,"7,0","750,5","773,2","-0,1",77,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"3,2",No precipitation,1,,,,
31.12.2018 21:00,"7,3","750,6","773,3","0,4",87,Wind blowing from the north,2,,,,,,,,,,,,,,,"5,3",No precipitation,12,,,,
31.12.2018 18:00,"9,5","750,2","772,7","0,4",76,Wind blowing from the east-northeast,2,,,,,,,,"15,7",,,,,,,"5,4",No precipitation,1,,,,
31.12.2018 15:00,"15,2","749,8","771,9","-0,7",54,Wind blowing from the north,2,,,,,,,,,,,,,,,"6,0",No precipitation,1,,,,
31.12.2018 12:00,"12,8","750,5","772,8","-0,2",69,Wind blowing from the east,3,,,,,,,,,,,,,,,"7,1",No precipitation,1,,,,
31.12.2018 09:00,"5,5","750,7","773,5","1,2",85,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"3,2",No precipitation,1,,,,
31.12.2018 06:00,"3,4","749,5","772,4","0,0",92,Wind blowing from the east,2,,,,,,,"3,3",,,,,,,,"2,2",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"-2,0",,
31.12.2018 03:00,"4,1","749,5","772,5","0,3",96,Wind blowing from the east,1,,,,,,,,,,,,,,,"3,5",No precipitation,1,,,,
31.12.2018 00:00,"5,4","749,2","772,0","0,3",87,Wind blowing from the east-southeast,2,,,,,,,,,,,,,,,"3,4",No precipitation,1,,,,
30.12.2018 21:00,"7,1","748,9","771,6","0,9",82,Wind blowing from the east-northeast,3,,5,,,,,,,,,,,,,"4,2",No precipitation,12,,,,
30.12.2018 18:00,"10,3","748,0","770,5","0,6",75,Wind blowing from the north-northeast,2,,,,,,,,"15,5",,,,,,,"6,1",No precipitation,1,,,,
30.12.2018 15:00,"15,2","747,4","769,4","-0,8",62,Wind blowing from the east-northeast,3,6,7,,,,,,,,,,,,,"7,8",No precipitation,1,,,,
30.12.2018 12:00,"13,7","748,2","770,3","-0,7",62,Wind blowing from the east,6,,,,,,,,,,,,,,,"6,4",No precipitation,1,,,,
30.12.2018 09:00,"9,1","748,9","771,4","1,4",78,Wind blowing from the north-east,4,7,7,,,,,,,,,,,,,"5,5",No precipitation,1,,,,
30.12.2018 06:00,"6,5","747,5","770,2","-0,4",89,Wind blowing from the north-east,3,,,,,,,"5,8",,,,,,,,"4,8",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"2,0",,
30.12.2018 03:00,"6,9","747,9","770,5","0,0",84,Wind blowing from the north-east,4,6,7,,,,,,,,,,,,,"4,3",No precipitation,1,,,,
