Local time in Beja (weather station),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.01.2019 21:00,"7,9","756,7","774,7","0,5",83,Wind blowing from the north-west,1,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","5,2",No precipitation,12,,,,
01.01.2019 18:00,"12,7","756,2","773,9","0,5",68,Wind blowing from the north,1,,,40%.,,,,,"17,9","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","6,8",No precipitation,3,,,,
01.01.2019 15:00,"17,6","755,7","773,1","-1,0",48,Wind blowing from the north,1,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","6,3",No precipitation,3,,,,
01.01.2019 12:00,"10,6","756,7","774,5","-0,1",85,Wind blowing from the east,2,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","8,2",No precipitation,3,,,,
01.01.2019 09:00,"5,8","756,8","775,0","1,5",89,Wind blowing from the east-southeast,2,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","15,0","4,1",No precipitation,3,,,,
01.01.2019 06:00,"4,9","755,3","773,5","-0,2",93,Wind blowing from the north,1,,,no clouds,,,,"4,0",,,,,,,"15,0","3,9",No precipitation,3,,,,
01.01.2019 03:00,"5,8","755,5","773,6","0,2",86,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"15,0","3,6",No precipitation,3,,,,
01.01.2019 00:00,"7,2","755,3","773,4","-0,1",90,Wind blowing from the east-southeast,2,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","5,7",No precipitation,3,,,,
31.12.2018 21:00,"8,4","755,4","773,4","0,5",79,Wind blowing from the north,1,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","5,0",No precipitation,12,,,,
31.12.2018 18:00,"11,8","754,9","772,7","0,3",67,Wind blowing from the east,2,,,20–30%.,,,,,"15,8",Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","5,9",No precipitation,3,,,,
31.12.2018 15:00,"15,7","754,6","772,0","-0,6",56,Wind blowing from the east,2,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","6,8",No precipitation,3,,,,
31.12.2018 12:00,"13,9","755,2","772,8","-0,2",63,Wind blowing from the east-southeast,3,,,no clouds,,,,,,,,,,,"20,0","7,0",No precipitation,3,,,,
31.12.2018 09:00,"6,3","755,4","773,5","1,2",87,Wind blowing from the east-southeast,4,,,no clouds,,,,,,,,,,,"20,0","4,3",No precipitation,3,,,,
31.12.2018 06:00,"5,4","754,2","772,3","-0,1",87,Wind blowing from the east-southeast,4,,,no clouds,,,,"5,3",,,,,,,"20,0","3,4",No precipitation,3,,,,
31.12.2018 03:00,"6,4","754,3","772,3","0,5",84,Wind blowing from the east-southeast,3,,,no clouds,,,,,,,,,,,"20,0","3,9",No precipitation,3,,,,
31.12.2018 00:00,"7,6","753,8","771,8","0,4",82,Wind blowing from the east-southeast,4,,,no clouds,,,,,,,,,,,"20,0","4,7",No precipitation,3,,,,
30.12.2018 21:00,"9,3","753,4","771,3","0,8",80,Wind blowing from the east,3,,,no clouds,,,,,,,,,,,"20,0","5,9",No precipitation,12,,,,
30.12.2018 18:00,"12,3","752,6","770,3","0,8",71,Wind blowing from the east-northeast,2,,,no clouds,,,,,"16,2",,,,,,"20,0","7,2",No precipitation,3,,,,
30.12.2018 15:00,"13,1","751,8","769,3","-0,8",67,Wind blowing from the east-northeast,5,,8,no clouds,,,,,,,,,,,"20,0","7,1",No precipitation,3,,,,
30.12.2018 12:00,"13,7","752,6","770,2","-0,7",62,Wind blowing from the east,5,,8,no clouds,,,,,,,,,,,"20,0","6,4",No precipitation,3,,,,
30.12.2018 09:00,"7,8","753,3","771,3","1,4",80,Wind blowing from the east-northeast,4,,,no clouds,,,,,,,,,,,"20,0","4,6",No precipitation,3,,,,
30.12.2018 06:00,"6,0","751,9","769,9","-0,1",85,Wind blowing from the east,4,,,no clouds,,,,"5,6",,,,,,,"20,0","3,7",No precipitation,3,,,,
30.12.2018 03:00,"7,4","752,0","770,0","-0,6",82,Wind blowing from the east-northeast,3,,,no clouds,,,,,,,,,,,"20,0","4,5",No precipitation,3,,,,
30.12.2018 00:00,"6,8","752,6","770,6","-0,1",84,Wind blowing from the east,2,,7,no clouds,,,,,,,,,,,"20,0","4,3",No precipitation,3,,,,
29.12.2018 21:00,"8,3","752,7","770,6","0,5",80,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"20,0","5,1",No precipitation,12,,,,
29.12.2018 18:00,"10,5","752,2","769,9","0,6",75,Wind blowing from the north-east,4,,10,20–30%.,,,,,"14,1",Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","6,3",No precipitation,3,,,,
