Local time in Penhas Douradas,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.01.2019 23:00,"8,0","656,8",,"-0,1",28,Wind blowing from the north-northwest,2,,,,,,,,,,,,,,,"-9,7",No precipitation,1,,,,
01.01.2019 22:00,"8,1","656,8",,"0,0",26,Wind blowing from the west-northwest,1,,,,,,,,,,,,,,,"-10,5",No precipitation,1,,,,
01.01.2019 21:00,"8,1","657,0",,"0,4",24,Wind blowing from the north-northwest,2,,,,,,,,,,,,,,,"-11,5",,,,,,
01.01.2019 20:00,"7,9","656,9",,"0,4",21,Wind blowing from the north,3,,,,,,,,,,,,,,,"-13,4",No precipitation,1,,,,
01.01.2019 19:00,"8,2","656,8",,"0,4",21,Wind blowing from the north-northwest,2,,,,,,,,,,,,,,,"-13,0",No precipitation,1,,,,
01.01.2019 18:00,"8,2","656,6",,"0,4",30,Wind blowing from the west-northwest,3,,,,,,,,,,,,,,,"-8,6",No precipitation,1,,,,
01.01.2019 17:00,"9,8","656,5",,"0,3",26,Wind blowing from the west,5,,,,,,,,,,,,,,,"-8,9",No precipitation,1,,,,
01.01.2019 16:00,"10,7","656,4",,"-0,1",29,Wind blowing from the west,6,,,,,,,,,,,,,,,"-6,9",No precipitation,1,,,,
01.01.2019 15:00,"12,7","656,2",,"-0,6",22,Wind blowing from the west,4,,,,,,,,,,,,,,,"-8,4",,,,,,
01.01.2019 14:00,"12,5","656,2",,"-0,9",21,Wind blowing from the west,5,,,,,,,,,,,,,,,"-9,3",No precipitation,1,,,,
01.01.2019 13:00,"13,4","656,5",,"-0,6",21,Wind blowing from the west,4,,,,,,,,,,,,,,,"-8,6",No precipitation,1,,,,
01.01.2019 12:00,"13,0","656,8",,"-0,1",20,Wind blowing from the west,4,,,,,,,,,,,,,,,"-9,7",No precipitation,6,,,,
01.01.2019 11:00,"12,8","657,1",,"0,7",21,Wind blowing from the west,4,,,,,,,,,,,,,,,"-9,1",No precipitation,1,,,,
01.01.2019 10:00,"11,9","657,1",,"1,1",21,Wind blowing from the west,4,,,,,,,,,,,,,,,"-10,1",No precipitation,1,,,,
01.01.2019 09:00,"10,5","656,9",,"1,0",21,Wind blowing from the west,5,,,,,,,,,,,,,,,"-11,3",,,,,,
01.01.2019 08:00,"9,5","656,4",,"0,6",21,Wind blowing from the west,6,,,,,,,,,,,,,,,"-11,8",No precipitation,1,,,,
01.01.2019 07:00,"9,8","656,0",,"0,0",20,Wind blowing from the west,5,,,,,,,,,,,,,,,"-12,2",No precipitation,1,,,,
01.01.2019 06:00,"9,6","655,9",,"-0,4",20,Wind blowing from the west,3,,,,,,,"5,9",,,,,,,,"-12,4",No precipitation,12,,,,
01.01.2019 05:00,"9,7","655,8",,"-0,4",19,Wind blowing from the west-northwest,3,,,,,,,,,,,,,,,"-12,7",No precipitation,1,,,,
01.01.2019 04:00,"11,0","656,0",,"-0,1",18,Wind blowing from the west,3,,,,,,,,,,,,,,,"-12,6",No precipitation,1,,,,
01.01.2019 03:00,"9,6","656,3",,,19,Wind blowing from the west,3,,,,,,,,,,,,,,,"-12,7",,,,,,
01.01.2019 02:00,"8,7","656,2",,"-0,1",22,Wind blowing from the south-southwest,1,,,,,,,,,,,,,,,"-11,8",No precipitation,1,,,,
01.01.2019 01:00,"7,0","656,1",,"-0,2",26,Wind blowing from the south-southeast,2,,,,,,,,,,,,,,,"-11,5",No precipitation,1,,,,
