Local time in Lisbon,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.01.2019 23:00,"11,2","764,8","774,4","0,0",58,Wind blowing from the north-northwest,2,,,,,,,,,,,,,,,"3,2",No precipitation,1,,,,
01.01.2019 22:00,"10,9","764,8","774,4","0,1",65,Wind blowing from the north-west,1,,,,,,,,,,,,,,,"4,6",No precipitation,1,,,,
01.01.2019 21:00,"11,8","764,9","774,4","0,4",66,Wind blowing from the north-west,2,,,,,,,,,,,,,,,"5,6",No precipitation,1,,,,
01.01.2019 20:00,"12,0","764,8","774,4","0,6",68,Wind blowing from the north-west,2,,,,,,,,,,,,,,,"6,3",No precipitation,1,,,,
01.01.2019 19:00,"12,2","764,7","774,2","0,5",68,Wind blowing from the north-west,2,,,,,,,,,,,,,,,"6,5",No precipitation,1,,,,
01.01.2019 18:00,"13,6","764,5","773,9","0,5",48,"Calm, no wind",0,,,,,,,,,,,,,,,"2,8",No precipitation,1,,,,
01.01.2019 17:00,"13,8","764,2","773,6","0,3",55,"Calm, no wind",0,,,,,,,,,,,,,,,"4,9",No precipitation,1,,,,
01.01.2019 16:00,"15,1","764,2","773,6","-0,3",53,Wind blowing from the east,2,,,,,,,,,,,,,,,"5,4",No precipitation,1,,,,
01.01.2019 15:00,"14,9","764,0","773,4","-0,9",49,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"4,3",No precipitation,1,,,,
01.01.2019 14:00,"14,8","763,9","773,3","-1,4",52,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"5,0",No precipitation,1,,,,
01.01.2019 13:00,"13,0","764,5","773,9","-0,9",57,Wind blowing from the north-northeast,3,,,,,,,,,,,,,,,"4,7",No precipitation,1,,,,
01.01.2019 12:00,"11,2","764,9","774,4","-0,2",61,Wind blowing from the east-northeast,4,,,,,,,,,,,,,,,"3,8",No precipitation,6,,,,
01.01.2019 11:00,"10,9","765,3","774,8","0,8",67,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"4,9",No precipitation,1,,,,
01.01.2019 10:00,"8,9","765,4","775,0","1,4",72,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"4,0",No precipitation,1,,,,
01.01.2019 09:00,"6,0","765,1","774,8","1,5",88,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"4,1",No precipitation,1,,,,
01.01.2019 08:00,"5,1","764,5","774,2","1,0",95,"Calm, no wind",0,,,,,,,,,,,,,,,"4,3",No precipitation,1,,,,
01.01.2019 07:00,"5,5","764,0","773,8","0,4",93,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"4,4",No precipitation,1,,,,
01.01.2019 06:00,"6,8","763,6","773,3","-0,3",81,Wind blowing from the north-east,1,,,,,,,"5,6",,,,,,,,"3,7",No precipitation,12,,,,
01.01.2019 05:00,"5,8","763,5","773,2","-0,1",91,"Calm, no wind",0,,,,,,,,,,,,,,,"4,5",No precipitation,1,,,,
01.01.2019 04:00,"6,4","763,6","773,3","0,0",88,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"4,6",No precipitation,1,,,,
01.01.2019 03:00,"7,4","763,9","773,5",,84,"Calm, no wind",0,,,,,,,,,,,,,,,"4,8",No precipitation,1,,,,
01.01.2019 02:00,"8,2","763,6","773,2","0,0",79,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"4,7",No precipitation,1,,,,
01.01.2019 01:00,"8,7","763,6","773,3","0,1",77,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"4,9",No precipitation,1,,,,
31.12.2018 23:00,"10,1","763,6","773,2","0,2",71,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"5,1",No precipitation,1,,,,
31.12.2018 22:00,"11,0","763,5","773,0","0,2",69,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"5,5",No precipitation,1,,,,
31.12.2018 21:00,"11,5","763,5","773,0","0,5",68,Wind blowing from the north-northeast,1,,,,,,,,,,,,,,,"5,7",No precipitation,12,,,,
31.12.2018 20:00,"12,1","763,4","772,9","0,5",66,"Calm, no wind",0,,,,,,,,,,,,,,,"5,9",No precipitation,1,,,,
31.12.2018 19:00,"12,4","763,3","772,8","0,6",67,Wind blowing from the north-northeast,1,,,,,,,,,,,,,,,"6,3",No precipitation,1,,,,
31.12.2018 18:00,"12,7","763,0","772,5","0,4",66,Wind blowing from the north-east,1,,,,,,,,"15,0",,,,,,,"6,5",No precipitation,12,,,,
31.12.2018 17:00,"13,7","762,9","772,3","0,5",65,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"7,1",No precipitation,1,,,,
31.12.2018 16:00,"14,7","762,7","772,1","0,0",61,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"7,2",No precipitation,1,,,,
31.12.2018 15:00,"14,3","762,6","772,0","-0,7",62,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"7,1",No precipitation,1,,,,
31.12.2018 14:00,"13,4","762,4","771,8","-1,2",62,Wind blowing from the east-northeast,4,,,,,,,,,,,,,,,"6,3",No precipitation,1,,,,
31.12.2018 13:00,"12,1","762,7","772,3","-0,9",66,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"5,8",No precipitation,1,,,,
31.12.2018 12:00,"10,9","763,3","772,8","-0,2",66,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"4,7",No precipitation,6,,,,
31.12.2018 11:00,"9,9","763,6","773,2","0,8",65,Wind blowing from the east-northeast,4,,,,,,,,,,,,,,,"3,5",No precipitation,1,,,,
31.12.2018 10:00,"9,2","763,6","773,2","1,2",68,Wind blowing from the east-northeast,4,,,,,,,,,,,,,,,"3,6",No precipitation,1,,,,
31.12.2018 09:00,"8,1","763,5","773,1","1,4",72,Wind blowing from the east-northeast,4,,,,,,,,,,,,,,,"3,3",No precipitation,1,,,,
31.12.2018 08:00,"7,1","762,8","772,5","0,9",75,Wind blowing from the north-east,4,,,,,,,,,,,,,,,"2,9",No precipitation,1,,,,
31.12.2018 07:00,"7,3","762,4","772,1","0,2",76,Wind blowing from the east-northeast,4,,,,,,,,,,,,,,,"3,3",No precipitation,1,,,,
31.12.2018 06:00,"7,7","762,1","771,7","-0,2",79,Wind blowing from the north-east,4,,,,,,,"7,4",,,,,,,,"4,2",No precipitation,12,,,,
31.12.2018 05:00,"7,9","761,9","771,5","0,0",78,Wind blowing from the east-northeast,4,,,,,,,,,,,,,,,"4,2",No precipitation,1,,,,
31.12.2018 04:00,"8,1","762,2","771,8","0,3",76,Wind blowing from the east-northeast,4,,,,,,,,,,,,,,,"4,1",No precipitation,1,,,,
31.12.2018 03:00,"8,3","762,3","771,9","0,2",76,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"4,2",No precipitation,1,,,,
31.12.2018 02:00,"8,3","761,9","771,5","0,1",75,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"4,1",No precipitation,1,,,,
31.12.2018 01:00,"8,6","761,9","771,4","0,1",75,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"4,3",No precipitation,1,,,,
31.12.2018 00:00,"8,8","762,1","771,7","0,3",76,Wind blowing from the north-east,3,,,,,,,,,,,,,,,"4,7",No precipitation,6,,,,
30.12.2018 23:00,"10,3","761,8","771,3","0,2",70,Wind blowing from the east-northeast,4,,,,,,,,,,,,,,,"5,1",No precipitation,1,,,,
30.12.2018 22:00,"10,6","761,8","771,3","0,7",70,Wind blowing from the north-east,3,,,,,,,,,,,,,,,"5,3",No precipitation,1,,,,
30.12.2018 21:00,"11,2","761,8","771,3","1,0",68,Wind blowing from the north-east,3,,,,,,,,,,,,,,,"5,4",No precipitation,12,,,,
30.12.2018 20:00,"11,4","761,6","771,1","1,1",68,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"5,7",No precipitation,1,,,,
30.12.2018 19:00,"12,3","761,1","770,5","0,9",66,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"6,0",No precipitation,1,,,,
30.12.2018 18:00,"13,7","760,8","770,2","0,8",60,Wind blowing from the east-northeast,4,,,,,,,,"15,8",,,,,,,"6,1",No precipitation,12,,,,
30.12.2018 17:00,"14,6","760,5","769,9","0,5",59,Wind blowing from the north-east,4,,,,,,,,,,,,,,,"6,6",No precipitation,1,,,,
30.12.2018 16:00,"15,3","760,2","769,6","-0,2",56,Wind blowing from the east-northeast,4,,,,,,,,,,,,,,,"6,6",No precipitation,1,,,,
30.12.2018 15:00,"15,4","760,0","769,3","-1,2",56,Wind blowing from the north-east,6,,,,,,,,,,,,,,,"6,6",No precipitation,1,,,,
30.12.2018 14:00,"14,6","760,0","769,3","-1,8",58,Wind blowing from the east-northeast,6,,,,,,,,,,,,,,,"6,3",No precipitation,1,,,,
30.12.2018 13:00,"13,6","760,4","769,9","-1,7",62,Wind blowing from the east-northeast,5,,,,,,,,,,,,,,,"6,4",No precipitation,1,,,,
30.12.2018 12:00,"12,0","761,2","770,7","-0,9",66,Wind blowing from the north-east,6,,,,,,,,,,,,,,,"5,7",No precipitation,6,,,,
30.12.2018 11:00,"11,0","761,8","771,4","0,0",66,Wind blowing from the east-northeast,5,,,,,,,,,,,,,,,"4,9",No precipitation,1,,,,
30.12.2018 10:00,"10,1","762,1","771,7","1,0",68,Wind blowing from the east-northeast,5,,,,,,,,,,,,,,,"4,3",No precipitation,1,,,,
30.12.2018 09:00,"9,0","762,1","771,7","1,4",72,Wind blowing from the north-east,5,,,,,,,,,,,,,,,"4,1",No precipitation,1,,,,
30.12.2018 08:00,"7,9","761,8","771,4","1,3",78,Wind blowing from the north-east,4,,,,,,,,,,,,,,,"4,3",No precipitation,1,,,,
30.12.2018 07:00,"8,1","761,1","770,7",,78,Wind blowing from the north-east,4,,,,,,,,,,,,,,,"4,4",No precipitation,1,,,,
30.12.2018 06:00,"8,6","760,7","770,3","-0,5",74,Wind blowing from the north-east,5,,,,,,,"8,5",,,,,,,,"4,2",No precipitation,12,,,,
30.12.2018 05:00,"9,1","760,5","770,1",,72,Wind blowing from the north-east,5,,,,,,,,,,,,,,,"4,3",No precipitation,1,,,,
30.12.2018 03:00,"8,9","761,2","770,7",,75,Wind blowing from the north-east,5,,,,,,,,,,,,,,,"4,6",No precipitation,1,,,,
29.12.2018 22:00,"10,4","761,4","770,9",,73,Wind blowing from the north-east,4,,,,,,,,,,,,,,,"5,7",No precipitation,1,,,,
29.12.2018 21:00,"10,9","761,3","770,8","0,5",71,Wind blowing from the north-east,4,,,,,,,,,,,,,,,"5,8",No precipitation,12,,,,
29.12.2018 20:00,"11,5","761,2","770,7","0,7",69,Wind blowing from the north-east,4,,,,,,,,,,,,,,,"6,0",No precipitation,1,,,,
29.12.2018 18:00,"12,9","760,8","770,2","0,6",67,Wind blowing from the north-east,4,,,,,,,,"15,1",,,,,,,"6,8",No precipitation,12,,,,
29.12.2018 17:00,"13,8","760,5","769,9","0,3",62,Wind blowing from the east-northeast,4,,,,,,,,,,,,,,,"6,7",No precipitation,1,,,,
29.12.2018 16:00,"14,7","760,3","769,6","-0,3",59,Wind blowing from the east-northeast,5,,,,,,,,,,,,,,,"6,8",No precipitation,1,,,,
29.12.2018 15:00,"14,8","760,2","769,6","-1,3",57,Wind blowing from the east-northeast,7,,,,,,,,,,,,,,,"6,2",No precipitation,1,,,,
29.12.2018 14:00,"14,5","760,2","769,6","-2,0",66,Wind blowing from the east-northeast,5,,,,,,,,,,,,,,,"8,2",No precipitation,1,,,,
29.12.2018 13:00,"12,5","760,6","770,1","-1,8",73,Wind blowing from the east-northeast,5,,,,,,,,,,,,,,,"7,7",No precipitation,1,,,,
29.12.2018 12:00,"11,6","761,5","771,0","-0,6",72,Wind blowing from the north-east,5,,,,,,,,,,,,,,,"6,6",No precipitation,6,,,,
29.12.2018 11:00,"10,6","762,2","771,7","0,5",72,Wind blowing from the north-east,5,,,,,,,,,,,,,,,"5,8",No precipitation,1,,,,
29.12.2018 10:00,"10,1","762,4","771,9","0,9",75,Wind blowing from the east-northeast,4,,,,,,,,,,,,,,,"5,9",No precipitation,1,,,,
29.12.2018 09:00,"9,4","762,1","771,7","1,0",78,Wind blowing from the north-east,4,,,,,,,,,,,,,,,"5,8",No precipitation,1,,,,
29.12.2018 08:00,"8,6","761,7","771,3","0,7",81,Wind blowing from the north-east,4,,,,,,,,,,,,,,,"5,4",No precipitation,1,,,,
29.12.2018 07:00,"8,5","761,5","771,1","0,3",82,Wind blowing from the east-northeast,5,,,,,,,,,,,,,,,"5,5",No precipitation,1,,,,
29.12.2018 06:00,"9,2","761,1","770,6","-0,4",79,Wind blowing from the east-northeast,5,,,,,,,"8,0",,,,,,,,"5,7",No precipitation,12,,,,
29.12.2018 05:00,"9,2","761,0","770,6","-0,5",80,Wind blowing from the north-east,5,,,,,,,,,,,,,,,"5,8",No precipitation,1,,,,
29.12.2018 04:00,"8,0","761,2","770,8","-0,3",90,Wind blowing from the north-east,3,,,,,,,,,,,,,,,"6,5",No precipitation,1,,,,
29.12.2018 03:00,"8,5","761,5","771,1","-0,3",93,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"7,4",No precipitation,1,,,,
29.12.2018 02:00,"10,1","761,5","771,1","-0,6",77,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"6,3",No precipitation,1,,,,
29.12.2018 01:00,"10,8","761,5","771,0","-0,3",77,Wind blowing from the north-northeast,3,,,,,,,,,,,,,,,"6,8",No precipitation,1,,,,
29.12.2018 00:00,"10,4","761,8","771,4","0,0",82,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"7,4",No precipitation,6,,,,
28.12.2018 23:00,"11,4","762,1","771,5","0,3",79,Wind blowing from the north,1,,,,,,,,,,,,,,,"7,9",No precipitation,1,,,,
28.12.2018 22:00,"11,4","761,8","771,4","0,1",82,Wind blowing from the north-northeast,1,,,,,,,,,,,,,,,"8,4",No precipitation,1,,,,
28.12.2018 21:00,"12,1","761,8","771,2","0,3",82,Wind blowing from the north-northeast,2,,,,,,,,,,,,,,,"9,1",No precipitation,12,,,,
28.12.2018 20:00,"12,4","761,8","771,2","0,5",82,Wind blowing from the north,1,,,,,,,,,,,,,,,"9,4",No precipitation,1,,,,
28.12.2018 19:00,"13,0","761,7","771,1","0,6",81,Wind blowing from the north,3,,,,,,,,,,,,,,,"9,8",No precipitation,1,,,,
28.12.2018 18:00,"13,8","761,5","770,9","0,6",79,Wind blowing from the north,4,,,,,,,,"17,3",,,,,,,"10,1",No precipitation,12,,,,
28.12.2018 17:00,"15,1","761,3","770,6","0,5",73,Wind blowing from the north,2,,,,,,,,,,,,,,,"10,3",No precipitation,1,,,,
28.12.2018 16:00,"16,2","761,1","770,4","-0,2",69,Wind blowing from the north,3,,,,,,,,,,,,,,,"10,5",No precipitation,1,,,,
28.12.2018 15:00,"17,0","760,9","770,2","-1,0",64,Wind blowing from the north-northeast,3,,,,,,,,,,,,,,,"10,1",No precipitation,1,,,,
28.12.2018 14:00,"17,0","760,8","770,1","-1,6",70,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"11,4",No precipitation,1,,,,
28.12.2018 13:00,"15,8","761,3","770,7","-1,3",76,Wind blowing from the east,2,,,,,,,,,,,,,,,"11,5",No precipitation,1,,,,
28.12.2018 12:00,"15,0","761,9","771,3","-0,6",79,Wind blowing from the east,2,,,,,,,,,,,,,,,"11,3",No precipitation,6,,,,
28.12.2018 11:00,"15,0","762,4","771,9","0,3",79,Wind blowing from the east,2,,,,,,,,,,,,,,,"11,4",No precipitation,1,,,,
28.12.2018 10:00,"14,7","762,6","772,0","1,0",79,Wind blowing from the north-east,3,,,,,,,,,,,,,,,"11,1",No precipitation,1,,,,
28.12.2018 09:00,"13,6","762,5","771,9","1,3",87,Wind blowing from the north-northeast,2,,,"10% or less, but not 0",Clouds generally dissolving or becoming less developed.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","11,4",No precipitation,1,,,,
28.12.2018 08:00,"13,2","762,1","771,5","0,6",88,Wind blowing from the north-northeast,2,,,,,,,,,,,,,,,"11,2",No precipitation,1,,,,
28.12.2018 07:00,"13,2","761,6","771,1","-0,2",88,Wind blowing from the north,2,,,,,,,,,,,,,,,"11,2",No precipitation,1,,,,
28.12.2018 06:00,"13,3","761,2","770,7","-0,9",88,Wind blowing from the north,2,,,,,,,"11,8",,,,,,,,"11,3",No precipitation,12,,,,
28.12.2018 05:00,"13,2","761,5","770,9","-0,4",87,Wind blowing from the north,3,,,,,,,,,,,,,,,"11,1",No precipitation,1,,,,
28.12.2018 04:00,"13,1","761,8","771,2","0,0",88,Wind blowing from the north,3,,,,,,,,,,,,,,,"11,1",No precipitation,1,,,,
28.12.2018 03:00,"12,8","762,1","771,5","0,0",92,Wind blowing from the north-west,2,,,,,,,,,,,,,,,"11,6",No precipitation,1,,,,
28.12.2018 02:00,"12,7","761,9","771,4","-0,4",90,"Calm, no wind",0,,,,,,,,,,,,,,,"11,1",No precipitation,1,,,,
28.12.2018 01:00,"12,9","761,8","771,3","-0,5",88,"Calm, no wind",0,,,,,,,,,,,,,,,"11,0",No precipitation,1,,,,
28.12.2018 00:00,"13,0","762,1","771,6","-0,1",88,Wind blowing from the north,1,,,,,,,,,,,,,,,"11,0",No precipitation,6,,,,
27.12.2018 23:00,"12,9","762,3","771,7","0,1",88,Wind blowing from the north,2,,,,,,,,,,,,,,,"11,0",No precipitation,1,,,,
27.12.2018 22:00,"13,0","762,3","771,7","0,1",88,Wind blowing from the north,1,,,,,,,,,,,,,,,"11,1",No precipitation,1,,,,
27.12.2018 21:00,"13,1","762,2","771,7","0,3",90,Wind blowing from the north-northwest,1,,,,,,,,,,,,,,,"11,4",No precipitation,12,,,,
27.12.2018 20:00,"12,0","762,2","771,7","0,4",93,Wind blowing from the east,1,,,,,,,,,,,,,,,"10,9",No precipitation,1,,,,
27.12.2018 19:00,"12,3","762,2","771,7","0,5",91,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"10,9",No precipitation,1,,,,
27.12.2018 18:00,"14,1","761,9","771,4","0,4",84,Wind blowing from the north-west,2,,,,,,,,"14,2",,,,,,,"11,4","0,1",12,,,,
27.12.2018 17:00,"13,0","761,8","771,2","0,4",87,"Calm, no wind",0,,,,,,,,,,,,,,,"10,9",No precipitation,1,,,,
27.12.2018 16:00,"12,3","761,7","771,1","0,0",89,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"10,6",No precipitation,1,,,,
27.12.2018 15:00,"13,0","761,5","771,0","-0,6",86,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"10,7",No precipitation,1,,,,
27.12.2018 14:00,"12,6","761,4","770,8","-1,0",85,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"10,2",No precipitation,1,,,,
27.12.2018 13:00,"12,1","761,7","771,1","-0,8",85,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"9,6",No precipitation,1,,,,
27.12.2018 12:00,"12,2","762,1","771,6","-0,1",85,Wind blowing from the east,2,,,,,,,,,,,,,,,"9,8","0,1",6,,,,
27.12.2018 11:00,"10,2","762,4","772,0","0,6",93,Wind blowing from the east,2,,,,,,,,,,,,,,,"9,1",No precipitation,1,,,,
27.12.2018 10:00,"9,1","762,5","772,0","1,0",97,Wind blowing from the east,1,,,,,,,,,,,,,,,"8,7",No precipitation,1,,,,
27.12.2018 09:00,"8,5","762,2","771,8","0,8",99,Wind blowing from the east-northeast,2,,,100%.,Mist.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,Less than 50,,,"2,0","8,3",No precipitation,1,,,,
27.12.2018 08:00,"8,5","761,8","771,4","0,6",99,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"8,3",No precipitation,1,,,,
27.12.2018 07:00,"8,7","761,5","771,1","0,0",98,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"8,4","0,1",1,,,,
27.12.2018 06:00,"8,6","761,4","771,0","0,0",98,Wind blowing from the east-northeast,2,,,,,,,"8,1",,,,,,,,"8,3",No precipitation,12,,,,
27.12.2018 05:00,"8,7","761,2","770,8","-0,1",98,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"8,4",No precipitation,1,,,,
27.12.2018 04:00,"8,5","761,5","771,1","0,1",98,"Calm, no wind",0,,,,,,,,,,,,,,,"8,2",No precipitation,1,,,,
27.12.2018 03:00,"8,6","761,4","771,0","-0,2",98,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"8,3",No precipitation,1,,,,
27.12.2018 02:00,"9,3","761,3","770,9","-0,5",97,Wind blowing from the east,2,,,,,,,,,,,,,,,"8,9",No precipitation,1,,,,
27.12.2018 01:00,"9,8","761,4","770,9","-0,4",97,"Calm, no wind",0,,,,,,,,,,,,,,,"9,4",No precipitation,1,,,,
27.12.2018 00:00,"9,6","761,6","771,1","0,0",97,"Calm, no wind",0,,,,,,,,,,,,,,,"9,2",No precipitation,6,,,,
26.12.2018 23:00,"10,1","761,8","771,3","0,0",95,Wind blowing from the east,1,,,,,,,,,,,,,,,"9,4",No precipitation,1,,,,
26.12.2018 22:00,"10,9","761,8","771,2","0,1",94,"Calm, no wind",0,,,,,,,,,,,,,,,"9,9",No precipitation,1,,,,
26.12.2018 21:00,"10,8","761,6","771,1","0,0",91,"Calm, no wind",0,,,,,,,,,,,,,,,"9,4",No precipitation,12,,,,
26.12.2018 20:00,"11,0","761,8","771,3","0,3",91,"Calm, no wind",0,,,,,,,,,,,,,,,"9,5",No precipitation,1,,,,
26.12.2018 19:00,"11,9","761,7","771,2","0,2",88,"Calm, no wind",0,,,,,,,,,,,,,,,"10,0",No precipitation,1,,,,
26.12.2018 18:00,"11,1","761,6","771,1","0,3",91,"Calm, no wind",0,,,,,,,,"12,8",,,,,,,"9,7",No precipitation,12,,,,
26.12.2018 17:00,"11,4","761,5","771,0","0,1",88,"Calm, no wind",0,,,,,,,,,,,,,,,"9,5",No precipitation,1,,,,
26.12.2018 16:00,"12,4","761,5","771,0","-0,1",85,"Calm, no wind",0,,,,,,,,,,,,,,,"9,9",No precipitation,1,,,,
26.12.2018 15:00,"11,9","761,3","770,8","-1,0",86,Wind blowing from the east,1,,,,,,,,,,,,,,,"9,6",No precipitation,1,,,,
26.12.2018 14:00,"10,3","761,4","770,9","-1,1",91,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"8,9",No precipitation,1,,,,
26.12.2018 13:00,"10,1","761,6","771,2","-0,7",89,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"8,4",No precipitation,1,,,,
