District,ID,Weather Station,WMO_ID,Coordinates,Time Frequency,timestamp format,Interval,Obs. 
Aveiro,8544_Ovar,"Ovar (airport), Portugal",8544,"40° 55' N lat., 08° 38' W long.; 17 m",3 Hours,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Beja,8561_beja,"Beja (weather station), Portugal",8561,"38° 04' N lat., 07° 55' W long.; 203 m",3 Hours,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Braga,8551_Castelo_do_Neiva,"Castelo do Neiva, Portugal",8551,"41° 38' N lat., 08° 48' W long.; 48 m",3 Hours,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,"Obs closest is Castelo de Neiva, same as Viana do Castelo"
Bragança,8575_braganca,"Braganca, Portugal",8575,"41° 48' N lat., 06° 44' W long.; 691 m",1 hour,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Castelo Branco,8570_castelo_branco,"Castelo Branco, Portugal",8570,"39° 50' N lat., 07° 29' W long.; 386 m",1 hour,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Coimbra,8548_coimbra,"Coimbra / Cernache, Portugal",8548,"40° 09' N lat., 08° 28' W long.; 179 m",1 hour,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Evora,8558_evora,"Evora, Portugal",8558,"38° 32' N lat., 07° 54' W long.; 245 m",3 Hours,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Faro ,8554_faro,"Faro (airport), Portugal",8554,"37° 01' N lat., 07° 58' W long.; 7 m",1 hour,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Guarda,8568_Penhas_Douradas,"Penhas Douradas, Portugal",8568,"40° 25' N lat., 07° 34' W long.; 1388 m",1 hour,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Leiria,8540_Monte_Real,"Monte Real (airport), Portugal",8540,"39° 50' N lat., 08° 53' W long.; 52 m",3 Hours,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Lisboa,8579_Lisbon,"Lisbon, Portugal",8579,"38° 46' N lat., 09° 08' W long.; 104 m",1 hour,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Portalegre,8571_portalegre,"Portalegre, Portugal",8571,"39° 17' N lat., 07° 25' W long.; 597 m",1 hour,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Porto,8545_porto,"Porto (airport), Portugal",8545,"41° 14.184' N lat., 08° 40.5036' W long.; 71 m",30 Minutes,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Santarem,8537_Alverca,"Alverca (airport), Portugal",8537,"38° 53' N lat., 09° 02' W long.; 3 m",3 Hours,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Setubal,8534_Montijo,"Montijo (airport), Portugal",8534,"38° 42' N lat., 09° 02' W long.; 14 m",3 Hours,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Viana do castelo,8551_Castelo_do_Neiva,"Castelo do Neiva, Portugal",8551,"41° 38' N lat., 08° 48' W long.; 48 m",3 Hours,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Vila Real,8567_Vila_Real,"Vila Real, Portugal",8567,"41° 16' N lat., 07° 43' W long.; 561 m",1 hour,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Viseu,8560_viseu,"Viseu, Portugal",8560,"40° 43' N lat., 07° 53' W long.; 644 m",1 hour,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
Setubal,8541_sines,"Sines Montes Chaos, Portugal",8541,"37° 57' lat. nord., 08° 52' long.ouest; 98 m",1 hour,DD.MM.YYYY HH:MM,01.01.16-01.01.2019,
